Date;rent_CH5YRetCHF_Acum;DE5YRetAcu;CH5YRetAcuCHF;ES5YRetAcu
04/05/2012;16.31779769;18.90655401;11.08325671;-22.02468232
11/05/2012;16.33839604;19.28062307;11.09988874;-25.03445413
18/05/2012;16.62762884;19.67361289;11.33178094;-28.52106768
25/05/2012;16.90642793;19.59422743;11.56014644;-29.92200207
01/06/2012;17.30203654;20.44898988;11.86852764;-36.01404762
08/06/2012;17.2593699;19.62053215;11.83137478;-31.47334792
15/06/2012;17.83647353;18.97360116;12.27866534;-37.97215319
22/06/2012;17.78899882;17.92864157;12.23734124;-33.47495507
29/06/2012;17.43404951;18.23380884;11.93913959;-32.87687222
06/07/2012;17.59199409;19.81681139;12.06197299;-39.36044551
13/07/2012;17.78565497;20.08364601;12.22750659;-36.53382378
20/07/2012;17.75261592;20.30041557;12.202666;-46.25841024
27/07/2012;17.5499516;19.06670556;12.02448782;-40.85716953
03/08/2012;17.65735357;18.96751212;12.11563441;-38.84150121
10/08/2012;17.47588554;19.17526656;11.96189377;-37.2485968
17/08/2012;17.36538487;18.6691228;11.86618757;-33.32783452
24/08/2012;17.84465373;18.79274749;12.26191722;-33.76949926
31/08/2012;18.11984747;18.82744943;12.48623405;-35.65359155
07/09/2012;17.52158016;18.14229978;11.92872368;-23.52534261
14/09/2012;17.62665478;16.38999645;12.01337723;-25.39452136
21/09/2012;17.30912822;16.75450032;11.75037215;-25.35202817
28/09/2012;17.370989;17.68512717;11.80048267;-27.44857636
05/10/2012;17.32706924;17.0714826;11.76285885;-23.74742479
12/10/2012;17.52524291;17.48949503;11.92769947;-23.01717888
19/10/2012;17.30911605;16.80993769;11.74365839;-20.25523574
26/10/2012;17.46995847;17.41786084;11.87338982;-22.61385085
02/11/2012;17.46487206;17.90983805;11.86920198;-23.24103671
09/11/2012;17.58864074;18.48870056;11.97000074;-24.92388302
16/11/2012;17.59374236;18.63224542;11.97419025;-25.96376223
23/11/2012;17.4363903;17.99687199;11.83979329;-23.26637217
30/11/2012;17.67648437;18.04649478;12.04179732;-21.6784586
07/12/2012;17.88793655;18.57403042;12.21392975;-23.17207459
14/12/2012;17.35030814;18.38128288;11.76133651;-21.93892733
21/12/2012;17.39530563;18.27250265;11.79931466;-20.02870514
28/12/2012;17.38510077;18.70680322;11.79088719;-20.35943044
04/01/2013;17.4098948;17.07105306;11.81202976;-17.32801134
11/01/2013;17.01330629;16.61116619;11.47517913;-14.13849888
18/01/2013;16.33197725;16.88624457;10.94029431;-16.99929479
25/01/2013;15.98091089;16.32423558;10.654768;-15.86893312
01/02/2013;15.86530516;16.5251506;10.56229878;-16.93694462
08/02/2013;16.56513229;17.04032592;11.1200178;-18.68739636
15/02/2013;16.51229202;16.89027667;11.07611986;-16.46491276
22/02/2013;16.89275697;17.4387519;11.3840242;-16.94115194
01/03/2013;17.05453354;18.31533908;11.51566553;-16.8844145
08/03/2013;16.59215899;17.68862125;11.12889728;-13.81172007
15/03/2013;16.68039202;18.15494227;11.19943381;-15.57190151
