Date;rent_CH2Y10YRetCHF_Acum;DEST2Y10YAcu;CHST2Y10YAcu;ESST2Y10YAcu
23/09/2011;1.70876265;1.845712549;1.68454433;5.197819906
30/09/2011;1.860640739;1.916718482;1.836532624;5.295900683
07/10/2011;1.107620635;2.077313385;1.086009808;5.193445137
14/10/2011;1.621741101;2.493887453;1.600324797;4.922545019
21/10/2011;1.041121934;2.393118486;1.019436728;4.789247978
28/10/2011;0.911497375;2.679619904;0.889624309;4.829474149
04/11/2011;0.772848059;2.127925363;0.751021557;4.578003787
11/11/2011;1.574372716;2.315717107;1.554341693;4.23031262
18/11/2011;2.67361576;2.540087288;2.653839469;3.921631228
25/11/2011;1.002922024;3.564518148;0.982574213;2.737001834
02/12/2011;0.822152683;3.314903517;0.799575821;2.975204122
09/12/2011;1.006778324;3.386828252;0.984351937;3.468596386
16/12/2011;0.764988331;2.898916619;0.742444574;5.938105857
23/12/2011;1.325094771;3.218180168;1.302447781;5.366171099
30/12/2011;0.777449991;2.999811952;0.751278251;5.664301097
06/01/2012;1.095015181;2.962326318;1.068869248;6.663658898
13/01/2012;1.140227946;2.910842519;1.114403632;7.288246832
20/01/2012;0.292445298;3.027637493;0.265993088;8.211923209
27/01/2012;0.201252358;2.843024992;0.174722071;8.231032776
03/02/2012;0.431524172;3.008421034;0.405228;7.633606827
10/02/2012;0.803956107;2.897355701;0.778071325;8.083544963
17/02/2012;0.688111581;2.898897746;0.662123485;8.012423278
24/02/2012;0.636330989;2.888279353;0.610297826;7.830437515
02/03/2012;0.681958644;2.774380292;0.655609664;8.539773752
09/03/2012;0.517310215;2.726824098;0.490768774;8.586434957
16/03/2012;1.317816303;2.929054415;1.291942925;8.84881543
23/03/2012;1.174519486;2.701095754;1.148522317;9.467420882
30/03/2012;1.081771903;2.535329625;1.055698966;9.103292141
06/04/2012;0.90157084;2.491058865;0.875311668;9.250417358
13/04/2012;0.843029324;2.517745916;0.816724533;8.654937795
20/04/2012;0.851063684;2.400509227;0.824847537;8.553308183
27/04/2012;0.711419485;2.30793132;0.685022875;8.57710613
04/05/2012;0.843179631;2.061473508;0.816897617;8.413633382
11/05/2012;0.680005312;1.984222099;0.65359441;8.278746539
18/05/2012;0.898293484;1.939103547;0.872058336;7.960566181
25/05/2012;0.97517656;1.955077993;0.949007598;7.778466875
01/06/2012;0.903029669;1.638367203;0.876823264;6.764029394
08/06/2012;1.433680001;1.822898582;1.407829515;7.132505677
15/06/2012;1.311617746;2.01940741;1.285694168;7.511611409
22/06/2012;1.712647337;2.149645794;1.686981483;6.948640864
29/06/2012;1.487810301;2.200857032;1.462004767;7.359369308
06/07/2012;1.181331038;1.795754087;1.155310881;7.812720803
13/07/2012;1.654484886;1.623937136;1.62881766;8.003725559
20/07/2012;1.649629718;1.372019721;1.623975937;6.805628447
27/07/2012;1.883698915;1.843098439;1.858186779;6.362316689
03/08/2012;1.847317914;1.833689143;1.821792338;9.480607262
10/08/2012;1.938871843;1.818960698;1.913447347;10.42331631
17/08/2012;1.449190266;2.049238547;1.423332088;9.803896794
24/08/2012;1.851167761;1.807653221;1.825682127;9.906304302
31/08/2012;1.869190821;1.782850568;1.843740639;11.26241704
07/09/2012;1.186260315;2.057499868;1.157160051;9.613218935
14/09/2012;1.456756384;2.338525748;1.427829287;8.80605691
21/09/2012;1.136376195;2.209261141;1.107311714;9.064630945
28/09/2012;0.94920211;1.884116839;0.920028983;8.964825372
05/10/2012;0.95793864;1.906678532;0.928775022;8.89976843
12/10/2012;0.947308661;1.841264872;0.91815859;8.934879261
19/10/2012;1.172036415;2.043548047;1.143082145;8.708390614
26/10/2012;1.180240967;1.967846095;1.151304016;8.691796235
02/11/2012;0.80907263;1.845624281;0.77986966;9.037549637
09/11/2012;0.825339739;1.641143023;0.796168229;9.425933132
16/11/2012;0.759142289;1.692919178;0.729918616;9.282568696
23/11/2012;0.968625173;1.943017566;0.939599535;9.062212599
30/11/2012;0.593818965;1.784783202;0.564475256;8.354124768
07/12/2012;0.642134966;1.737113269;0.612830967;8.658528649
14/12/2012;0.41709881;1.839243938;0.387601816;8.718748293
21/12/2012;0.764343315;1.891197881;0.73514481;8.448647477
28/12/2012;0.478692817;1.757947678;0.449262837;8.230961923
04/01/2013;0.626966133;2.079198017;0.597665579;8.746537095
11/01/2013;0.88892698;2.085889489;0.859501779;8.844064968
18/01/2013;0.686139385;1.883447673;0.676339179;8.981109755
25/01/2013;0.611301378;1.911842898;0.60152004;9.274168583
01/02/2013;0.585015707;1.941148049;0.575220631;8.826640309
08/02/2013;0.614989346;1.881612008;0.60496388;8.94441228
15/02/2013;0.653448176;2.054338364;0.643470344;8.802249276
22/02/2013;0.618619847;1.95626928;0.608607923;8.731338125
01/03/2013;0.468348488;1.751359226;0.45823448;8.737421545
08/03/2013;0.550296375;1.928871552;0.540501048;8.44419162
15/03/2013;0.532195887;1.809666308;0.522376852;8.538110966
22/03/2013;0.668751286;1.773957086;0.652988929;8.482220617
29/03/2013;0.587568165;1.562855636;0.571802222;8.895827627
05/04/2013;0.521102996;1.335254139;0.505428414;9.173397243
12/04/2013;0.52527611;1.437844219;0.50950334;8.691881001
19/04/2013;0.267497216;1.417730522;0.251666502;8.702843591
26/04/2013;0.488227851;1.403545925;0.470352914;7.838015192
03/05/2013;0.485759484;1.429216021;0.467891509;8.113333885
10/05/2013;0.452054987;1.637336721;0.433800743;8.334572971
17/05/2013;0.566006659;1.769161325;0.547785303;8.2346915
24/05/2013;0.788584009;1.932611066;0.770567189;8.071168401
31/05/2013;-0.029670931;1.956758422;-0.048117371;8.018343112
07/06/2013;0.696258555;1.788946621;0.678124578;8.005656011
14/06/2013;0.758696079;1.781351386;0.740379463;7.74062138
21/06/2013;0.974904918;1.975970653;0.95673404;8.163694234
28/06/2013;1.35199071;2.158700315;1.333671;7.602857715
05/07/2013;1.315263813;2.204988711;1.296899221;8.123640722
12/07/2013;1.227658074;1.874201383;1.209232945;8.430735285
19/07/2013;1.117769217;1.810277675;1.099288847;8.437771512
26/07/2013;1.26621626;1.946731912;1.247824627;8.120772208
02/08/2013;1.219381287;1.884756999;1.20098889;8.100955875
09/08/2013;1.04655131;1.91382297;1.02786029;7.878242437
16/08/2013;0.946520804;2.241971513;0.92784322;7.544415234
23/08/2013;1.246712486;2.354319295;1.228270297;7.565130728
30/08/2013;1.28390342;2.250134563;1.264681352;7.79709538
06/09/2013;1.296870353;2.437850024;1.277704247;7.783874406
13/09/2013;1.473189653;2.615551522;1.454155883;7.68606591
20/09/2013;1.242742368;2.510106382;1.223538868;7.869906628
27/09/2013;1.024057351;2.23495616;1.004723226;8.068262336
04/10/2013;1.194279604;2.32122426;1.175093552;8.020721236
11/10/2013;1.267522754;2.381590582;1.247497881;8.188749592
18/10/2013;1.241096911;2.331638793;1.221038594;8.492104715
25/10/2013;1.093587746;2.168492715;1.073407102;8.435232592
01/11/2013;1.065331438;2.162482358;1.045130284;8.486562482
08/11/2013;0.874056682;2.2830658;0.853704418;8.822470366
15/11/2013;1.19846319;2.224026731;1.177951138;8.89188703
22/11/2013;1.184595285;2.338647956;1.164130374;8.984349624
29/11/2013;1.094539228;2.191608426;1.074004636;8.949080842
06/12/2013;1.476430349;2.3635769;1.456359202;8.709210439
13/12/2013;1.477786848;2.289431469;1.457729754;8.629078011
20/12/2013;1.581844928;2.433182306;1.561844466;8.615434764
27/12/2013;1.653944067;2.533079437;1.634011851;8.477291793
03/01/2014;1.704979307;2.608665528;1.6850907;8.385702621
10/01/2014;1.887097714;2.358536254;1.867224144;7.213373289
17/01/2014;1.690402992;2.230470847;1.670438353;7.005775743
24/01/2014;1.378534042;2.139069888;1.358459348;7.12371446
31/01/2014;1.314325292;2.206127557;1.294230143;7.197985339
07/02/2014;1.369360036;2.127966758;1.349294555;6.897871075
14/02/2014;1.44017409;2.273895268;1.420165256;6.805108907
21/02/2014;1.384808406;2.184849462;1.364778928;6.846269201
28/02/2014;1.325643972;2.116286964;1.305600903;7.00921403
07/03/2014;1.341929437;2.048098954;1.321819057;6.897846869
14/03/2014;1.253035962;1.850699843;1.232953936;7.068630105
21/03/2014;1.364291459;1.925057165;1.344282481;7.005807479
28/03/2014;1.167217463;1.897699917;1.147081195;6.916239295
04/04/2014;1.067817436;1.894390339;1.047623685;6.946901207
11/04/2014;1.117951085;1.789011497;1.097837081;6.987703363
18/04/2014;0.968230293;1.773168405;0.948002565;6.748629269
25/04/2014;0.863602821;1.693533612;0.843331277;6.614262993
02/05/2014;0.761625107;1.668548325;0.741305526;6.250727439
09/05/2014;0.783166537;1.677001424;0.762859457;6.07948197
16/05/2014;0.599887836;1.637451076;0.579454314;6.375348481
23/05/2014;0.829918632;1.82928001;0.809637112;6.140629839
30/05/2014;0.703152956;1.714557708;0.682817555;6.016902317
06/06/2014;0.66794284;1.735776291;0.647601916;5.927815543
13/06/2014;0.832900626;1.779127521;0.812662471;5.798719394
20/06/2014;0.525711253;1.735238327;0.50540134;5.929359656
27/06/2014;0.170636233;1.550817282;0.149831285;6.061940301
04/07/2014;0.050948903;1.563075071;0.030066354;6.411392467
11/07/2014;-0.015089354;1.465508694;-0.036012238;6.740793271
18/07/2014;-0.241833436;1.383376311;-0.262925169;6.59583113
